Belle chambre d'hôte,Private room in townhouse,€35,Evelyne,(301 reviews),4.97,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n301 Reviews', '\U000f0019\nVerified']"
"Bel appartement coeur de ville, au calme",Entire home,€60,Sandra,(39 reviews),4.95,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']"
studio entre le vieux port et le marché,Entire home,€49,Jérôme & Malika,(194 reviews),4.66,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n194 Reviews']"
Suite indépendante avec vue sur piscine,Private room in bed and breakfast,€40,Bruce,(114 reviews),4.91,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n114 Reviews', '\U000f0019\nVerified']"
Bateau hyper centre La Rochelle (PRINCESS),Entire home,€39,Ubblo,(224 reviews),4.65,"['2 guests', '1 bedroom', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
Maisonette proche hyper centre avec parking,Entire home,€38,Anne Jessica,(60 reviews),4.53,"['2 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n60 Reviews']"
"Studio 26m2 avec vue sur mer, proche centre ville",Entire home,€28,Sami,,,"['2 guests', '1 bedroom', '1 bed', '1 bath']"
Chambre dans quartier tranquille,Private room in townhouse,€27,Stéphanie,(45 reviews),4.93,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']"
Chambre la Rochelle (Lagord) avec petit déjeuner.,Private room in house,€45,Evelyne,(136 reviews),4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n150 Reviews', '\U000f0019\nVerified']"
Beau 2 pièces avec terrasse et garage + vélos,Entire home,€60,Sandra,(164 reviews),4.9,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']"
Chambre privée La Rochelle centre,Private room in apartment,€35,Laurent Et Kévin,(73 reviews),4.5,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n73 Reviews']"
Chambre/sdb privée chez l'habitant centre ville LR,Private room in townhouse,€38,Alizé,(162 reviews),4.83,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']"
Appartement La Rochelle Vieux Port Classé 2*,Entire home,€45,Laurent,(78 reviews),4.74,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n415 Reviews', '\U000f0019\nVerified']"
Chambre de charme en centre ville,Private room in townhouse,€40,Sylvie,(425 reviews),4.57,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n425 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
"Maison à La Rochelle, vieux port et aquarium à 2km",Entire home,€65,Adeline,(407 reviews),4.48,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n407 Reviews', '\U000f0019\nVerified']"
Appartement de charme La Rochelle centre (65m2),Entire home,€55,Charles,(47 reviews),4.19,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n300 Reviews', '\U000f0019\nVerified']"
Appartement hyper centre dans un lieu historique,Entire home,€50,Mathieu,(241 reviews),4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n241 Reviews', '\U000f0019\nVerified']"
La Rochelle - Chambre indépendante&petit dejeuner,Private room in townhouse,€48,Vincent & Céline,(24 reviews),4.92,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']"
Charmant appartement hyper-centre historique,Entire home,€75,Véronique,(18 reviews),4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Agréable T2 Les Minimes La Rochelle parking,Entire home,€52,Blanche,(53 reviews),4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']"
Appartement on the beach for 4 to 6 persons,Entire home,€100,Christina,(291 reviews),4.76,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n291 Reviews', '\U000f0019\nVerified']"
Agréable T2 Les Minimes La Rochelle parking,Entire home,€52,Blanche,(53 reviews),4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']"
APPARTEMENT *** TERRASSE - CENTRE HISTORIQUE,Entire home,€59,Xavier,(26 reviews),4.69,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
"Maison cosy, à deux pas du port et de l'aquarium",Entire home,€110,Valentine,(100 reviews),4.38,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']"
APPARTEMENT *** BOHEME CHIC - CENTRE HISTORIQUE,Entire home,€59,Xavier,,,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
Escale La Rochelle - Chambre privée indépendante,Private room in house,€55,Delphine,(214 reviews),4.75,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n219 Reviews', '\U000f0019\nVerified']"
Chambre au calme proche de la mer,Private room in house,€44,Annie,(289 reviews),4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n289 Reviews', '\U000f0019\nVerified']"
chambre independante,Entire home,€32,Josiane,(78 reviews),4.56,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']"
Chambre d'hôtes proche La Rochelle THE LODGE 17138,Entire home,€62,Nathalie Et Yannick,(71 reviews),5,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']"
type gite dans un site naturel,Entire home,€60,Carole,(226 reviews),4.79,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n226 Reviews', '\U000f0019\nVerified']"
Appartement T3 45m² Hyper Centre La Rochelle,Entire home,€115,Manon Et Nicole,(230 reviews),4.88,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n295 Reviews', '\U000f0019\nVerified']"
Altantique 2,Entire home,€145,Isabelle,(70 reviews),4.81,"['5 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n75 Reviews', '\U000f0019\nVerified']"
2 chambres douillettes et confortables,Private room in house,€32,Gaele,(24 reviews),4.79,"['3 guests', '2 bedrooms', '2 beds', '1 shared bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']"
STUDIO MEUBLE AU CŒUR DE VIE DE LA ROCHELLE,Entire home,€50,Corinne,(34 reviews),4.39,"['3 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n34 Reviews', '\U000f0019\nVerified']"
Bateau hyper centre La Rochelle (RIPTIDE),Entire home,€39,Ubblo,(163 reviews),4.42,"['2 guests', '1 bedroom', '1 bed', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
Maison bleue,Private room in house,€30,Sarah,(68 reviews),4.79,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']"
Maison de caractère avec jardin et terrasses,Entire home,€190,Valentine,(51 reviews),4.76,"['7 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']"
Studio Atypique sous les toits proche Vieux Port,Entire home,€46,Emmanuel,(24 reviews),4.17,"['1 guest', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']"
Studio charmant proche La Rochelle,Entire home,€35,Aurélien,(73 reviews),4.7,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']"
Charmant appartement hyper-centre historique,Entire home,€75,Véronique,(18 reviews),4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Appartement au coeur de La Rochelle,Entire home,€60,Marie,(30 reviews),4.4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']"
T1 meublé aux portes de La Rochelle,Entire home,€45,Isabelle,(102 reviews),4.91,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n103 Reviews', '\U000f0019\nVerified']"
Volver Chambre sur le port,Private room in apartment,€25,Alejandra,(3 reviews),4,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']"
Une petite chambre dans un chalet,Private room in chalet,€49,Mireille,(206 reviews),4.55,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n206 Reviews', '\U000f0019\nVerified']"
Appartement calme à La Rochelle,Entire home,€125,Vahram,(26 reviews),4.96,"['7 guests', '3 bedrooms', '5 beds', '1 bath', '\U000f0004\n26 Reviews']"
Studio de charme sur le vieux port de la Rochelle,Entire home,€100,Julien,(7 reviews),4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n7 Reviews', '\U000f0019\nVerified']"
"STUDIO avec terrasse à 10 mn de La Rochelle, Ré.",Entire home,€35,Katy,(4 reviews),4.75,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']"
Appartement calme au bord de l'océan,Entire home,€90,Béa,(7 reviews),4.71,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n165 Reviews', '\U000f0019\nVerified']"
Charmante maison bien située,Entire home,€83,Nora,(326 reviews),4.39,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n326 Reviews', '\U000f0019\nVerified']"
Studio City à 50 mètres du vieux Port,Entire home,€48,Emmanuel,(53 reviews),4.04,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']"
T1bis 35 m² refait à neuf au coeur de La Rochelle,Entire home,€60,Virginie,(50 reviews),4.86,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n129 Reviews', '\U000f0019\nVerified']"
Maison à 10 minutes du centre ville de La Rochelle,Entire home,€200,Marie,(65 reviews),4.35,"['10 guests', '4 bedrooms', '4 beds', '2 baths', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']"
Jolie maisonnette avec terrasse. Vieux-Port à pied,Entire home,€53,Guillaume Et Céline,(26 reviews),4.85,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']"
Résidence BNB Confort La Rochelle Centre Piscine,Entire home,€75,Résidence BNB,(72 reviews),4.24,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n5,064 Reviews', '\U000f0019\nVerified']"
JOLI STUDIO LA ROCHELLE,Entire home,€65,Brigitte,(84 reviews),4.87,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']"
Appartement de plain-pied neuf 30 m²,Entire home,€45,Francis,(36 reviews),4.83,"['3 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n36 Reviews']"
Amazing house with garden & terrace,Entire home,€222,"Loic, Estelle & Co",,,"['3 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n616 Reviews', '\U000f0019\nVerified']"
"Magnifique studio La Rochelle port, gare",Entire home,€70,Gregory,(61 reviews),4.67,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n67 Reviews', '\U000f0019\nVerified']"
Deux-pièces cosy hypercentre.,Entire home,€80,Véronique,(23 reviews),4.87,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Bateau hyper centre La Rochelle (OCEANIS),Entire home,€89,Ubblo,(91 reviews),4.52,"['4 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
bateau hyper centre (PTIT CHIPO),Entire home,€89,Ubblo,(16 reviews),4.69,"['2 guests', '1 bedroom', '1 bed', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']"
Appartement lumineux vieux port /centre-ville,Entire home,€95,Veronique,(39 reviews),4.77,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n39 Reviews', '\U000f0019\nVerified']"
Nid douillet hyper centre La Rochelle,Entire home,€65,Véronique,(57 reviews),4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']"
Charmant Studio,Entire home,€70,Noel,(80 reviews),4.72,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n80 Reviews', '\U000f0019\nVerified']"
"Chambre indépendante, entrée privative et parking",Entire home,€32,Nathalie Et José,(152 reviews),4.93,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n152 Reviews', '\U000f0019\nVerified']"
Appartement 2 pièces proche La Rochelle et mer,Entire home,€30,Fabien,(137 reviews),4.28,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n137 Reviews', '\U000f0019\nVerified']"
La Belle Amarre.Maison d'hôtes.Chambre Les Mousses,Private room in bed and breakfast,€105,Pascale,,,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n2 Reviews', '\U000f0019\nVerified']"
Agréable studio avec balcon parking gratuit & Wifi,Entire home,€51,Alexis,,,"['2 guests', '1 bedroom', '1 bed', '1 bath']"
Charmant studio au coeur de La Rochelle,Entire home,€30,Marie,(32 reviews),3.67,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']"
BIENVENUE A BORD 2,Entire home,€70,Marie-Noëlle,(134 reviews),4.77,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n347 Reviews', '\U000f0019\nVerified']"
1 Chambre double tout confort au calme.,Private room in house,€32,Eric,(285 reviews),4.55,"['2 guests', '1 bedroom', '1 bed', '2 baths', '\U000f0004\n590 Reviews', '\U000f0019\nVerified']"
Dépaysant séjour sur un voiler pour 4,Entire home,€45,Frédéric,(5 reviews),4.6,"['4 guests', '2 bedrooms', '2 beds', '1.5 baths', '\U000f0004\n483 Reviews', '\U000f0019\nVerified']"
T2 avec terrasse et vue sur piscine,Entire home,€45,Morgane,(59 reviews),4.45,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']"
Appartement - Terrasse - WIFI - Chatelaillon-plage,Entire home,€52,Manon,(29 reviews),4.85,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
CHAMBRE PRIVÉE CHEZ L’HABITANT,Private room in house,€20,Jocelyne,(48 reviews),4.96,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n123 Reviews', '\U000f0019\nVerified']"
Maisonnette au calme et en ville!,Entire home,€45,Vanessa,,,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1 Review', '\U000f0019\nVerified']"
Voilier de 15 m à La Rochelle,Entire home,€190,Philippe,(172 reviews),4.64,"['7 guests', '4 bedrooms', '4 beds', '1 bath', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']"
BIENVENUE À BORD,Entire home,€70,Marie-Noëlle,(180 reviews),4.81,"['5 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n347 Reviews', '\U000f0019\nVerified']"
Cabine privée sur un bateau historique,Private room in boat,€110,Philippe,(148 reviews),4.7,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']"
Grand atelier vitré + chambre sur jardin,Entire home,€56,Carole,(256 reviews),4.7,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n257 Reviews', '\U000f0019\nVerified']"
La p'tite maritaise du petit bois.,Entire home,€90,David,(84 reviews),4.9,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']"
Superbe appartement à deux pas du port,Entire home,€35,Margaux,,,"['4 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n3 Reviews', '\U000f0019\nVerified']"
chambre indépendante chez l'habitant,Private room in townhouse,€60,Delphine,(64 reviews),4.81,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n64 Reviews', '\U000f0019\nVerified']"
Logement studio,Shared room in apartment,€15,Manuel,(3 reviews),5,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n3 Reviews']"
"Joli Voilier de 10m, caractère et esprit du large",Entire home,€80,Henri-Noël,(153 reviews),4.84,"['5 guests', '2 bedrooms', '5 beds', 'Half-bath', '\U000f0004\n153 Reviews', '\U000f0019\nVerified']"
La Rochelle-l'Ile de Ré autrement....,Entire home,€90,Michael,(15 reviews),5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n53 Reviews', '\U000f0019\nVerified']"
Appartement ancien 60 m2,Entire home,€75,Karine,(165 reviews),4.47,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n165 Reviews', '\U000f0019\nVerified']"
"Luxe, Calme, Volupté, mer au bout de la propriété",Entire home,€185,Véronique,,,"['3 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n35 Reviews', '\U000f0019\nVerified']"
Location vacances 2 pièces proche La Rochelle,Entire home,€50,Fabrice,(92 reviews),4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n92 Reviews', '\U000f0019\nVerified']"
Gîte grand confort,Entire home,€205,Emmanuel Et Patricia,(31 reviews),4.8,"['12 guests', '6 bedrooms', '9 beds', '3 baths', '\U000f0004\n31 Reviews']"
Au coeur de la vieille ville,Entire home,€140,Sami,(87 reviews),4.56,"['10 guests', '3 bedrooms', '5 beds', '1 bath', '\U000f0004\n124 Reviews', '\U000f0019\nVerified']"
Chambre à louer,Private room in house,€37,Berenice,(179 reviews),4.62,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']"
APPARTEMENT *** PLAGE IMMEDIATE - PLAGE + PARKING,Entire home,€49,Xavier,(30 reviews),4.73,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']"
BIENVENUE À BORD 3,Entire home,€75,Marie-Noëlle,(33 reviews),4.88,"['4 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n347 Reviews', '\U000f0019\nVerified']"
Chambre privée La Rochelle,Private room in townhouse,€36,Berenice,(4 reviews),4.5,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']"
MAISON PROCHE DE LA ROCHELLE 6-8 PERSONNES,Entire home,€80,Fabienne & David,(26 reviews),4.96,"['8 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n26 Reviews', '\U000f0019\nVerified']"
CHARMANT STUDIO EN CHARENTE-MARITIME,Entire home,€39,Isabelle,(127 reviews),4.91,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n127 Reviews', '\U000f0019\nVerified']"
Bateau dans vieux port de la Rochelle (Ours brun),Entire home,€55,Moli,(38 reviews),4.16,"['2 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']"
Chambre à La Rochelle,Room in hotel,€129,Laurent,(8 reviews),4,"['4 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n58 Reviews']"
bateau 4 places parking gratuit proche ville,Entire home,€70,Michel,(63 reviews),4.78,"['4 guests', '2 bedrooms', '2 beds', '0 baths', '\U000f0004\n89 Reviews', '\U000f0019\nVerified']"
Cottage plain pied 2 personnes,Entire home,€112,Le Bois,(139 reviews),4.59,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n190 Reviews', '\U000f0019\nVerified']"
Appartement en duplex rénové,Entire home,€125,Ramadan,(4 reviews),4,"['6 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n36 Reviews']"
Appartement en plein centre-ville de La Rochelle.,Entire home,€48,Clara,(33 reviews),4.85,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n33 Reviews', '\U000f0019\nVerified']"
Au 29 !!!,Entire home,€90,Cathy,(108 reviews),4.89,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n108 Reviews', '\U000f0019\nVerified']"
Walk or Bike from the old market to the port,Entire home,€150,Grégory,(81 reviews),4.88,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n81 Reviews', '\U000f0019\nVerified']"
Tiny house/Chalet en bois à 10 min de La Rochelle,Entire home,€60,Alexandre,(72 reviews),4.74,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n72 Reviews', '\U000f0019\nVerified']"
Spacieux et proche du centre historique !,Entire home,€130,Jonathan,,,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
"Voilier au vieux port ,vue tours",Entire home,€55,Naiwen,(62 reviews),4.19,"['4 guests',  '1 bedroom', '3 beds', 'Half-bath', '\U000f0004\n147 Reviews', '\U000f0019\nVerified']"
CHAMBRE PRIVÉE CHEZ L’HABITANT AVEC DOUCHE,Private room in house,€20,Jocelyne,(72 reviews),4.91,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n123 Reviews', '\U000f0019\nVerified']"
Chambre au calme L’houmeau proche mer,Private room in bed and breakfast,€22,Virginie,,,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n181 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
appart proche la Rochelle et Chatellaillon,Entire home,€60,Colette,(55 reviews),4.93,"['3 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n55 Reviews']"
