,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
77,Room - Charming apartment Latin Quarter,Private room in apartment,58.0,Claire,283,4.63,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n323 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n323 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
78,Heart of Moulin Rouge,Entire home,223.0,Ari,38,4.55,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n1,392 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""392 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
79,"Cosy home, 2 bathrooms, close to the Eiffel Tower",Entire home,190.0,Vincent,67,4.91,"['4 guests', '1 bedroom', '2 beds', '2 baths', '\U000f0004\n561 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '2 baths'"", "" '\\U000f0004\\n561 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '2 baths',1.0,2.0,2.0
80,LOVELY APPARTMENT LAFAYETTE - 5P,Entire home,185.0,Clara,19,4.53,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n1,358 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n1"", ""358 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
84,VIEW EIFFEL TOWER / 1MN BY WALK TO EIFFEL TOWER,Entire home,140.0,Andrea,44,4.27,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n65 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
85,Chambre au calme à Paris,Private room in apartment,27.0,Renaudon,151,4.68,"['1 guest', 'Studio', '1 bed', '1 shared bath', '\U000f0004\n155 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" 'Studio'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n155 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, 'Studio', '1 bed', '1 shared bath',0.5,1.0,1.0
87,"Appartement Cosy, parking gratuit protégé, Paris",Entire home,149.0,Anne Et Frédéric,222,4.69,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n222 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n222 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
88,appartement cosy de 42m2 proche Paris,Entire home,80.0,Laho,160,4.91,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n284 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n284 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
90,Chambre calme dans un logement neuf,Private room in condominium,27.0,Ludivine,10,4.9,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n10 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
91,"Hippodrome d’Auteuil , Penthouse, Luxe",Entire home,169.0,Lucy,4,3.67,"['4 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n4 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '4 beds', '1 bath',1.0,4.0,1.0
92,Private suite for 2,Private room in apartment,60.0,Berenice,340,4.79,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n340 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n340 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
93,Cosy Room Paris Center in the Marais,Private room in apartment,86.0,Franck,349,4.84,"['2 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n349 Reviews', '\U000f1101\n4 References', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 baths'"", "" '\\U000f0004\\n349 Reviews'"", "" '\\U000f1101\\n4 References'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 baths',1.0,1.0,1.5
94,Un charmant appartement dans Paris,Entire home,146.0,Virginie,8,4.88,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n8 Reviews']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n8 Reviews']""]",4.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
95,Exceptional Place in the center of Marais,Entire home,324.0,Stanley,16,4.56,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n5,746 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n5"", ""746 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
96,MARAIS - REPUBLIQUE- 6 PEOPLE,Entire home,299.0,Clara,100,4.14,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n1,358 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""358 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
97,"Beatiful Flat Next Eiffel Tower, Champs Elysées",Entire home,110.0,Benjamin,70,4.51,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n303 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n303 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
99,Studio girly à partager a Paris,Shared room in apartment,20.0,Romane,52,4.57,"['1 guest', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
100,Home sweet home in Montmartre,Entire home,138.0,Elodie & Franck,105,4.28,"['8 guests', '1 bedroom', '6 beds', '1 bath', '\U000f0004\n114 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '1 bedroom'"", "" '6 beds'"", "" '1 bath'"", "" '\\U000f0004\\n114 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '1 bedroom', '6 beds', '1 bath',1.0,6.0,1.0
101,HOTEL RICHMOND GARE DU NORD,Private room,55.0,Hotel,191,4.08,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n378 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n378 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
102,The Trocadero - 350m2 - 6 rooms - full equiped!,Entire home,1000.0,David,3,5.0,"['12 guests', '6 bedrooms', '10 beds', '5 baths', '\U000f0004\n19 Reviews', '\U000f0019\nVerified']","[""['12 guests'"", "" '6 bedrooms'"", "" '10 beds'"", "" '5 baths'"", "" '\\U000f0004\\n19 Reviews'"", "" '\\U000f0019\\nVerified']""]",12.0, '6 bedrooms', '10 beds', '5 baths',6.0,10.0,5.0
103,Appartement Cosy Parisien,Entire home,90.0,Jovic,85,4.88,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n85 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n85 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
105,"Jolie Appartement, avec vue sur la tour Eiffel",Entire home,84.0,Mohamed,91,4.87,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n188 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n188 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
106,Nice flat very close Métro 7 and Paris,Entire home,66.0,Daniela,52,4.9,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n359 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
107,NICE & COSY A FEW MINUTES FROM TROCADERO 4P,Entire home,369.0,Igal & Deborah,33,4.73,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n141 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
108,A lovely Studio in a historical building for 3,Entire home,113.0,Michel,41,4.8,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n87 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n87 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
110,Chambre privée en plein centre de Paris,Private room in apartment,40.0,Sonny,124,4.31,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n124 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n124 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
111,❤️Charming & Design House - 5min Opera & Louvre,Entire home,250.0,Raphael,89,4.64,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n451 Reviews', '\U000f1101\n4 References', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n451 Reviews'"", "" '\\U000f1101\\n4 References'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
114,Modern/New Apartment in Central Paris,Entire home,105.0,小天,9,4.56,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n9 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n9 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
115,T/ 4P IDEAL LOCATION IN FRONT OF ARC DE TRIOMPHE,Entire home,299.0,Yi & Deborah,29,4.45,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n68 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
116,A bedroom near the Eiffel Tower.,Private room in apartment,55.0,Laure,320,4.61,"['2 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n320 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n320 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
117,Chambre Simple - Salle de bains commune,Room in hotel,48.0,Jofre,28,4.68,"['1 guest', '1 bedroom', '1 bed', '0 shared baths', '\U000f0004\n35 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '0 shared baths'"", "" '\\U000f0004\\n35 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '0 shared baths',1.0,1.0,0.0
119,Beautiful Room 5mn Charles de Gaulle Airport,Private room in house,42.0,Elsa,18,4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n148 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n148 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
120,Lovely Quiet ROOM Gare de l'Est + Nord - NO LIFT!,Private room in apartment,55.0,Dominique,208,4.83,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n245 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n245 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
122,Cosy loft / apartment ~ Ile Saint Louis,Entire home,150.0,Lionel,313,4.08,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n1,314 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n1"", ""314 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
124,Nice appartment on an island (bed & breakfast),Private room in bed and breakfast,100.0,Jérémy,455,4.62,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n455 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n455 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
125,"L’appartement aux miroirs, quartier Belleville",Entire home,400.0,Mathilde,26,4.19,"['12 guests', '3 bedrooms', '6 beds', '2 baths', '\U000f0004\n3,217 Reviews', '\U000f0019\nVerified']","[""['12 guests'"", "" '3 bedrooms'"", "" '6 beds'"", "" '2 baths'"", "" '\\U000f0004\\n3"", ""217 Reviews'"", "" '\\U000f0019\\nVerified']""]",12.0, '3 bedrooms', '6 beds', '2 baths',3.0,6.0,2.0
126,Chambre sympa et chaleureuse à Paris,Private room in apartment,50.0,Maryam,212,4.91,"['1 guest', '1 bedroom', '0 beds', '1 shared bath', '\U000f0004\n212 Reviews']","[""['1 guest'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n212 Reviews']""]",1.0, '1 bedroom', '0 beds', '1 shared bath',1.0,0.0,1.0
127,Amazing apartment - 6P/2BR - Canal Saint Martin -4,Entire home,362.0,Jo & Lola,8,4.75,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n29 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
129,"2' from subway, friendly host, breakfast inc",Shared room in apartment,45.0,Carla.,80,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n178 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n178 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
130,"Beautiful, modern and spacious apartment",Entire home,226.0,Joseph,100,4.74,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n165 Reviews']","[""['6 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n165 Reviews']""]",6.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
132,Saint-Honoré Luxury Apartment 3 Bedrooms,Entire home,500.0,Ilan,70,4.83,"['6 guests', '3 bedrooms', '3 beds', '2.5 baths', '\U000f0004\n70 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '3 bedrooms'"", "" '3 beds'"", "" '2.5 baths'"", "" '\\U000f0004\\n70 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '3 bedrooms', '3 beds', '2.5 baths',3.0,3.0,2.5
134,AMAZING LITTLE HOUSE 5MIN FROM EIFFEL TOWER,Entire home,169.0,Michel & Diane,169,4.7,"['4 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 baths'"", "" '\\U000f0004\\n337 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '1 bed', '1.5 baths',1.0,1.0,1.5
135,AMAZING DUPLEX IN THE HEART OF MONTMARTRE 4/6P,Entire home,359.0,Diane & Déborah,88,4.72,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n1,213 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n1"", ""213 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '2 baths',2.0,3.0,2.0
136,Chambre privée cosy sur cour 11e (girls only),Private room in apartment,50.0,Claire,11,5.0,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n11 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n11 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
138,Chambre indépendante à deux pas du Château,Private room in house,55.0,Béatrice,183,4.77,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n183 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
139,Wonderful and Cosy - Heart of Paris / Oberkampf,Entire home,90.0,Alexandre,20,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n20 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n20 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
140,top suite B&B Paris Bruno&Bastille,Private room in bed and breakfast,115.0,Bruno,108,4.91,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n110 Reviews', '\U000f1101\n9 References', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n110 Reviews'"", "" '\\U000f1101\\n9 References'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
141,Paris-Rosny s/bois-Privatna soba-Potkrovlje,Private room in townhouse,17.0,Vojislav,87,4.5,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n231 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n231 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
142,Cosy Nest on Eiffel Tower,Entire home,79.0,Ludo,6,4.33,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n6 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n6 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, 'Studio', '1 bed', '1 bath',0.5,1.0,1.0
144,Small Luxurious Room in the heart of Saint Germain,Entire home,65.0,Fosca,218,4.27,"['1 guest', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n225 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n225 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
145,Lanneau12,Private room in apartment,65.0,Myriam,194,4.42,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n194 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n194 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
146,Elegant Suite in the heart of Paris,Private room in apartment,130.0,César,52,4.77,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n394 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n394 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 shared bath',1.0,2.0,1.0
147,Bel appartement avec terrasse proche de Gambetta,Entire home,85.0,Philippe,38,4.97,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n49 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n49 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
148,Studio (full)- 5 min walk from Eiffel Tower,Private room in apartment,125.0,Vinay,10,5.0,"['4 guests', 'Studio', '3 beds', '1 private bath', '\U000f0004\n43 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n43 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, 'Studio', '3 beds', '1 private bath',0.5,3.0,1.0
149,Appartement pour 6 personnes#Porte de Versailles,Entire home,125.0,Imane,14,4.64,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n297 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n297 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
150,Luxury Flat EIFFEL tower & River Seine,Entire home,500.0,Emmanuelle,266,4.72,"['6 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n340 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '3 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n340 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '3 bedrooms', '4 beds', '1 bath',3.0,4.0,1.0
151,BATIGNOLLES Charming and Cozy Appartment for 8p,Entire home,350.0,Misha,15,4.93,"['8 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n212 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n212 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
152,Chic appart. proche Paris et Stade de France,Entire home,57.0,Daniela,104,4.88,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n359 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n359 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1.5 baths',1.0,2.0,1.5
